User ID,Player,Discord,Team,Time Zone,User ID,Player,Discord,Team,Time Zone
,,,,,26595443,saromii,saromii#7575,touhou weed fans,"18,19,20,21;18,19,20,21;NotAvailable;18,19,20,21"
,,,,,17487021,Flufquin,Flufquin#3586,touhou weed fans,"18,19,20,21;18,19,20,21;NotAvailable;18,19,20,21"
,,,,,19734854,CreepyGar,CreepyGar#1896,Waffle Warriors,"13,14,15,16,17,19,20,21;13,14,15,16,17,19,20,21;16,17,19,20,21;19,20,21"
,,,,,8344751,RoseYoshino,yoshino#3384,Waffle Warriors,"13,14,15,16,17,19,20,21;13,14,15,16,17,19,20,21;16,17,19,20,21;19,20,21"
,,,,,26243771,xotixx,xotix#8322,Waffle Warriors,"13,14,15,16,17,19,20,21;13,14,15,16,17,19,20,21;16,17,19,20,21;19,20,21"
,,,,,18807290,[NewBie],NewBie#5203,Waffle Warriors,"13,14,15,16,17,19,20,21;13,14,15,16,17,19,20,21;16,17,19,20,21;19,20,21"
,,,,,16296371,FireRed88,FireRed88#6632,wuth du hill?!,"00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23"
,,,,,25129957,Zorokii,Zoroki#9544,wuth du hill?!,"00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23"
,,,,,18058066,Eurua,Sinon#0686,wuth du hill?!,"00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23"
,,,,,24840779,Walisbad,Walisbad#1838,wuth du hill?!,"00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23;00,01,02,03,04,05,06,07,08,09,20,21,22,23"
